OBJECTID,id,effectiveDate,instrument_ID,name,siteType,Watershed,siteTypeStr,structure,dataLoc,Type (Digital/Analog/Both),Analog_Years,Purpose,Digital_Years,State,County,Easting_DB,Norting_DB,Elevation_DB,latitude,longitude,Area_acres,In_DB,Published,Notes,Notes 2,x,y
1,1,05/21/2003 01:00:00,1,wg_rg001  ,10,WGEW,Raingage,,raingage\rg01\rg01.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,580177.7,3510845.9,1231.1,31.73024,-110.1536,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,580177.7,3510845.9
2,2,05/21/2003 02:00:00,2,wg_rg002  ,10,WGEW,Raingage,,raingage\rg02\rg02.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,581187.7,3512046.7,1262.9,31.741,-110.1429,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,581187.7,3512046.7
3,3,01/23/2008 11:21:00,3,wg_rg003  ,10,WGEW,Raingage,,raingage\rg03\rg03.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,581203.8,3509765,1257.1,31.72041,-110.1429,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,581203.8,3509765
4,4,05/21/2003 02:00:00,4,wg_rg004  ,10,WGEW,Raingage,,raingage\rg04\rg04.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,582935.4,3512513,1278.1,31.74508,-110.1244,,Yes,Yes,Analog rain gauges operational year round. See DAP database for exact dates of operation. Analog rain gauges using a daily (24-hour) clock/chart.,,582935.4,3512513
5,5,11/03/2004 13:38:00,5,wg_rg005  ,10,WGEW,Raingage,,raingage\rg05\rg05.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,582648.4,3510765,1277.7,31.72933,-110.1276,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,582648.4,3510765
6,6,07/21/1954 14:20:00,6,wg_rg006,10,WGEW,Raingage,,,Analog,1962-1969,,,Arizona,Cochise,583583,3509840,1314,31.72092,-110.1178,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,GA:  effectiveDate has been added from DB event start date.,583583,3509840
7,7,05/21/2003 02:00:00,7,wg_rg007  ,10,WGEW,Raingage,,raingage\rg07\rg07.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,584458.1,3512807.8,1297.6,31.74763,-110.1083,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,584458.1,3512807.8
8,8,11/03/2004 11:47:00,8,wg_rg008  ,10,WGEW,Raingage,,raingage\rg08\rg08.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,583789.8,3511369,1295.4,31.7347,-110.1155,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,583789.8,3511369
9,9,05/21/2003 01:00:00,9,wg_rg009  ,10,WGEW,Raingage,,raingage\rg09\rg09.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,584589.6,3509386.8,1343.4,31.71675,-110.1072,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,584589.6,3509386.8
10,10,05/21/2003 02:00:00,10,wg_rg010  ,10,WGEW,Raingage,,raingage\rg10\rg10.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,584265,3508350.8,1383.2,31.70743,-110.1107,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,584265,3508350.8
